status of checking account,duration in month,credit history,purpose,credit amount,savings account/bonds,present employment since,installment rate in percentage,personal status and sex,other debtors / guarantors,present residence since,property,age,other installment plans,housing,number of existing credits,job,no of people being liable,telephone,foreign worker,class
no checking account,60,existing credits paid back duly till now,radio/television,10144,100 <= x <  500 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,4,real estate,21,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),radio/television,1240,unknown/ no savings account,x >= 7 years,4,female:divorced/separated/married,none,2,real estate,38,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,27,delay in paying off in the past,car (used),8613,x >= 1000 DM,1  <= x < 4 years,2,male:single,none,2,car or other,27,none,own,2,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,12,existing credits paid back duly till now,radio/television,766,500 <= x < 1000 DM,1  <= x < 4 years,4,male:single,none,3,real estate,66,none,own,1,unskilled-resident,1,none,yes,2
0 <= x < 200 DM,15,critical account/ other credits existing (not at this bank),radio/television,2728,unknown/ no savings account,4  <= x < 7 years,4,male:single,guarantor,2,real estate,35,bank,own,3,skilled employee/official,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,12,existing credits paid back duly till now,radio/television,1881,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,2,car or other,44,none,rent,1,unskilled-resident,1,"yes, registered under the customers name",yes,1
x >= 200 DM_salary assignments for at least 1 year,6,existing credits paid back duly till now,car (new),709,x >= 1000 DM, x < 1 year,2,male:married/widowed,none,2,real estate,27,none,own,1,unemployed/unskilled-non-resident,1,none,no,1
0 <= x < 200 DM,36,existing credits paid back duly till now,radio/television,4795,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,unknown/no property,30,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,27,existing credits paid back duly till now,radio/television,3416,x <  100 DM,1  <= x < 4 years,3,male:single,none,2,car or other,27,none,own,1,management/self-employed/highly qualified employee/ officer,1,none,yes,1
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,2462,x <  100 DM,1  <= x < 4 years,2,male:single,none,2,car or other,22,none,own,1,skilled employee/official,1,none,yes,2
no checking account,21,critical account/ other credits existing (not at this bank),furniture/equipment,2288,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,48,all credits at this bank paid back duly,business,3566,100 <= x <  500 DM,4  <= x < 7 years,4,male:single,none,2,car or other,30,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,6,critical account/ other credits existing (not at this bank),car (new),860,x <  100 DM,x >= 7 years,1,female:divorced/separated/married,none,4,unknown/no property,39,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,12,critical account/ other credits existing (not at this bank),car (new),682,100 <= x <  500 DM,4  <= x < 7 years,4,female:divorced/separated/married,none,3,car or other,51,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,36,critical account/ other credits existing (not at this bank),furniture/equipment,5371,x <  100 DM,1  <= x < 4 years,3,male:single,guarantor,2,if not A121:building society savings agreement/life insurance,28,none,own,2,skilled employee/official,1,none,yes,1
no checking account,18,critical account/ other credits existing (not at this bank),radio/television,1582,x >= 1000 DM,x >= 7 years,4,male:single,none,4,car or other,46,none,own,2,skilled employee/official,1,none,yes,1
no checking account,6,existing credits paid back duly till now,radio/television,1346,100 <= x <  500 DM,x >= 7 years,2,male:single,none,4,unknown/no property,42,bank,for free,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,10,existing credits paid back duly till now,radio/television,1924,x <  100 DM,1  <= x < 4 years,1,male:single,none,4,if not A121:building society savings agreement/life insurance,38,none,own,1,skilled employee/official,1,"yes, registered under the customers name",no,1
x >= 200 DM_salary assignments for at least 1 year,36,existing credits paid back duly till now,radio/television,5848,x <  100 DM,1  <= x < 4 years,4,male:single,none,1,car or other,24,none,own,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),car (used),7758,x >= 1000 DM,x >= 7 years,2,female:divorced/separated/married,none,4,unknown/no property,29,none,rent,1,skilled employee/official,1,none,yes,1
0 <= x < 200 DM,24,delay in paying off in the past,business,6967,100 <= x <  500 DM,4  <= x < 7 years,4,male:single,none,4,car or other,36,none,rent,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,x <  100 DM,1  <= x < 4 years,2,female:divorced/separated/married,none,4,car or other,20,none,rent,1,skilled employee/official,1,none,yes,2
x < 0 DM,9,critical account/ other credits existing (not at this bank),repairs,1288,100 <= x <  500 DM,x >= 7 years,3,male:single,guarantor,4,real estate,48,none,own,2,skilled employee/official,2,none,no,1
x < 0 DM,12,all credits at this bank paid back duly,retraining,339,x <  100 DM,x >= 7 years,4,male:married/widowed,none,1,car or other,45,bank,own,1,unskilled-resident,1,none,yes,1
0 <= x < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= x <  500 DM,4  <= x < 7 years,2,male:single,none,3,car or other,38,bank,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
no checking account,6,critical account/ other credits existing (not at this bank),radio/television,1898,unknown/ no savings account,1  <= x < 4 years,1,male:single,none,2,real estate,34,none,own,2,unskilled-resident,2,none,yes,1
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= x <  500 DM,x >= 7 years,3,male:single,none,4,real estate,36,none,own,1,skilled employee/official,2,"yes, registered under the customers name",yes,1
no checking account,18,critical account/ other credits existing (not at this bank),car (new),1055,x <  100 DM, x < 1 year,4,female:divorced/separated/married,none,1,if not A121:building society savings agreement/life insurance,30,none,own,2,skilled employee/official,1,none,yes,1
no checking account,15,existing credits paid back duly till now,domestic appliances,1262,500 <= x < 1000 DM,4  <= x < 7 years,4,male:single,none,3,if not A121:building society savings agreement/life insurance,36,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,10,existing credits paid back duly till now,car (new),7308,x <  100 DM,unemployed,2,male:single,none,4,unknown/no property,70,bank,for free,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,1
no checking account,36,existing credits paid back duly till now,car (new),909,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,4,if not A121:building society savings agreement/life insurance,36,none,own,1,skilled employee/official,1,none,yes,1
no checking account,6,existing credits paid back duly till now,furniture/equipment,2978,500 <= x < 1000 DM,1  <= x < 4 years,1,male:single,none,2,car or other,32,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
x < 0 DM,18,existing credits paid back duly till now,furniture/equipment,1131,x <  100 DM,unemployed,4,female:divorced/separated/married,none,2,car or other,33,none,own,1,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,11,existing credits paid back duly till now,furniture/equipment,1577,x >= 1000 DM, x < 1 year,4,female:divorced/separated/married,none,1,real estate,20,none,own,1,skilled employee/official,1,none,yes,1
no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,x <  100 DM,4  <= x < 7 years,2,female:divorced/separated/married,none,4,if not A121:building society savings agreement/life insurance,25,none,rent,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,24,critical account/ other credits existing (not at this bank),business,1935,x <  100 DM,x >= 7 years,4,male:divorced/separated,none,4,real estate,31,none,own,2,skilled employee/official,1,"yes, registered under the customers name",yes,2
x < 0 DM,15,no credits taken/ all credits paid back duly,car (new),950,x <  100 DM,x >= 7 years,4,male:single,none,3,car or other,33,none,rent,2,skilled employee/official,2,none,yes,2
no checking account,12,existing credits paid back duly till now,furniture/equipment,763,x <  100 DM,1  <= x < 4 years,4,female:divorced/separated/married,none,1,real estate,26,none,own,1,skilled employee/official,1,"yes, registered under the customers name",yes,1
0 <= x < 200 DM,24,delay in paying off in the past,furniture/equipment,2064,x <  100 DM,unemployed,3,female:divorced/separated/married,none,2,if not A121:building society savings agreement/life insurance,34,none,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
0 <= x < 200 DM,8,existing credits paid back duly till now,radio/television,1414,x <  100 DM,1  <= x < 4 years,4,male:single,guarantor,2,real estate,33,none,own,1,skilled employee/official,1,none,no,1
x < 0 DM,21,delay in paying off in the past,education,3414,x <  100 DM, x < 1 year,2,male:single,none,1,if not A121:building society savings agreement/life insurance,26,none,own,2,skilled employee/official,1,none,yes,2
no checking account,30,all credits at this bank paid back duly,car (used),7485,unknown/ no savings account,unemployed,4,female:divorced/separated/married,none,1,real estate,53,bank,own,1,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
x < 0 DM,12,existing credits paid back duly till now,furniture/equipment,2577,x <  100 DM,1  <= x < 4 years,2,male:divorced/separated,none,1,car or other,42,none,own,1,skilled employee/official,1,none,yes,1
x < 0 DM,6,critical account/ other credits existing (not at this bank),radio/television,338,500 <= x < 1000 DM,x >= 7 years,4,male:single,none,4,car or other,52,none,own,2,skilled employee/official,1,none,yes,1
no checking account,12,existing credits paid back duly till now,radio/television,1963,x <  100 DM,4  <= x < 7 years,4,male:single,none,2,car or other,31,none,rent,2,management/self-employed/highly qualified employee/ officer,2,"yes, registered under the customers name",yes,1
x < 0 DM,21,critical account/ other credits existing (not at this bank),car (new),571,x <  100 DM,x >= 7 years,4,male:single,none,4,real estate,65,none,own,2,skilled employee/official,1,none,yes,1
no checking account,36,delay in paying off in the past,business,9572,x <  100 DM, x < 1 year,1,male:divorced/separated,none,1,car or other,28,none,own,2,skilled employee/official,1,none,yes,2
0 <= x < 200 DM,36,delay in paying off in the past,business,4455,x <  100 DM,1  <= x < 4 years,2,male:divorced/separated,none,2,real estate,30,stores,own,2,management/self-employed/highly qualified employee/ officer,1,"yes, registered under the customers name",yes,2
